"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 14:13:25 GMT 2022","Tue Dec 13 14:13:37 GMT 2022","11520","","Login Test","","","","Login Using Custom Command,Picture,Product name,SKU,Price,Stock quantity,Published,Edit",""
"skipped","Tue Dec 13 14:13:22 GMT 2022","Tue Dec 13 14:13:22 GMT 2022","1","","Visit","","","","Verify cy.visit for Platform",""
"passed","Tue Dec 13 14:13:24 GMT 2022","Tue Dec 13 14:13:24 GMT 2022","590","","Assertions Demo","","","","Assert empty and property",""
"passed","Tue Dec 13 14:14:11 GMT 2022","Tue Dec 13 14:14:23 GMT 2022","11420","","Verify Menu","","","","Verify SubMenu items in  Promotions",""
"passed","Tue Dec 13 14:13:22 GMT 2022","Tue Dec 13 14:13:23 GMT 2022","524","","Visit","","","","Verify Cy visit Fail On Status Code options",""
"skipped","Tue Dec 13 14:13:22 GMT 2022","Tue Dec 13 14:13:22 GMT 2022","0","","Visit","","","","Cy visit with post options",""
"passed","Tue Dec 13 14:13:12 GMT 2022","Tue Dec 13 14:13:24 GMT 2022","11179","","Assertions Demo","","","","Assert check uncheck",""
"passed","Tue Dec 13 14:13:34 GMT 2022","Tue Dec 13 14:13:36 GMT 2022","2505","","Navigation","","","","Verify - reload the page",""
"passed","Tue Dec 13 14:14:34 GMT 2022","Tue Dec 13 14:14:46 GMT 2022","11490","","Verify Menu","","","","Verify SubMenu items in  Configuration",""
"passed","Tue Dec 13 14:14:23 GMT 2022","Tue Dec 13 14:14:34 GMT 2022","11378","","Verify Menu","","","","Verify SubMenu items in  Content management",""
"passed","Tue Dec 13 14:12:52 GMT 2022","Tue Dec 13 14:12:57 GMT 2022","5608","","Assertions Demo","","","","Text equal check",""
"passed","Tue Dec 13 14:13:23 GMT 2022","Tue Dec 13 14:13:33 GMT 2022","10804","","Navigation","","","","Verify go back or forward in the browser's history",""
"passed","Tue Dec 13 14:14:08 GMT 2022","Tue Dec 13 14:14:20 GMT 2022","12018","","Actions Demo","","","","Working with Select/ Dropdowns",""
"passed","Tue Dec 13 14:12:58 GMT 2022","Tue Dec 13 14:12:59 GMT 2022","1690","","Assertions Demo","","","","Visibility Check",""
"skipped","Tue Dec 13 14:13:22 GMT 2022","Tue Dec 13 14:13:22 GMT 2022","2","","Visit","","","","Verify Cy visit PageLoadTimeOut options",""
"failed","Tue Dec 13 14:13:26 GMT 2022","Tue Dec 13 14:13:34 GMT 2022","7545","","Verify URLS","","","","Check URL",""
"passed","Tue Dec 13 14:13:00 GMT 2022","Tue Dec 13 14:13:16 GMT 2022","15370","","Actions Demo","","","","Type in to element",""
"skipped","Tue Dec 13 14:13:22 GMT 2022","Tue Dec 13 14:13:22 GMT 2022","0","","Visit","","","","Verify Cy visit Basic Auth options",""
"failed","Tue Dec 13 14:15:09 GMT 2022","Tue Dec 13 14:15:15 GMT 2022","5707","","Verify Menu","","","","Network failure",""
"passed","Tue Dec 13 14:14:22 GMT 2022","Tue Dec 13 14:14:38 GMT 2022","16001","","Nop Commerce Admin Module","","","","Admin Login Test",""
"failed","Tue Dec 13 14:13:32 GMT 2022","Tue Dec 13 14:13:49 GMT 2022","17132","","Verify Menu","","","","Verify SubMenu items in  Catalog",""
"passed","Tue Dec 13 14:14:00 GMT 2022","Tue Dec 13 14:14:11 GMT 2022","11461","","Verify Menu","","","","Verify SubMenu items in  Customers",""
"passed","Tue Dec 13 14:13:39 GMT 2022","Tue Dec 13 14:14:08 GMT 2022","28548","","Actions Demo","","","","Working with SelectDropdowns",""
"passed","Tue Dec 13 14:13:05 GMT 2022","Tue Dec 13 14:13:12 GMT 2022","7169","","Assertions Demo","","",""," Verify Length , List of Elements",""
"passed","Tue Dec 13 14:14:57 GMT 2022","Tue Dec 13 14:15:09 GMT 2022","11450","","Verify Menu","","","","Verify SubMenu items in  Reports",""
"passed","Tue Dec 13 14:12:59 GMT 2022","Tue Dec 13 14:13:05 GMT 2022","5746","","Assertions Demo","","",""," CSS Verification",""
"passed","Tue Dec 13 14:13:14 GMT 2022","Tue Dec 13 14:13:25 GMT 2022","11319","","Login Test","","","","Login Using Custom Commandadmin@yourstore.com",""
"passed","Tue Dec 13 14:13:49 GMT 2022","Tue Dec 13 14:14:00 GMT 2022","11288","","Verify Menu","","","","Verify SubMenu items in  Sales",""
"passed","Tue Dec 13 14:14:46 GMT 2022","Tue Dec 13 14:14:57 GMT 2022","11405","","Verify Menu","","","","Verify SubMenu items in  System",""
"passed","Tue Dec 13 14:13:27 GMT 2022","Tue Dec 13 14:13:39 GMT 2022","12133","","Actions Demo","","","","Working with checkboxes",""
