"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 13 13:45:45 GMT 2022","Tue Dec 13 13:45:57 GMT 2022","11499","","Verify Menu","","","","Verify SubMenu items in  Customers",""
"passed","Tue Dec 13 13:47:09 GMT 2022","Tue Dec 13 13:47:25 GMT 2022","16467","","Nop Commerce Admin Module","","","","Admin Login Test",""
"skipped","Tue Dec 13 13:45:29 GMT 2022","Tue Dec 13 13:45:29 GMT 2022","0","","Visit","","","","Verify cy.visit for Platform",""
"passed","Tue Dec 13 13:45:47 GMT 2022","Tue Dec 13 13:45:59 GMT 2022","12225","","Assertions Demo","","","","Assert check uncheck",""
"passed","Tue Dec 13 13:45:20 GMT 2022","Tue Dec 13 13:45:25 GMT 2022","5225","","Assertions Demo","","","","Text equal check",""
"passed","Tue Dec 13 13:45:57 GMT 2022","Tue Dec 13 13:46:08 GMT 2022","11435","","Verify Menu","","","","Verify SubMenu items in  Promotions",""
"passed","Tue Dec 13 13:45:32 GMT 2022","Tue Dec 13 13:45:38 GMT 2022","6064","","Assertions Demo","","",""," CSS Verification",""
"failed","Tue Dec 13 13:46:55 GMT 2022","Tue Dec 13 13:47:00 GMT 2022","5723","","Verify Menu","","","","Network failure",""
"passed","Tue Dec 13 13:45:30 GMT 2022","Tue Dec 13 13:45:42 GMT 2022","12579","","Navigation","","","","Verify go back or forward in the browser's history",""
"failed","Tue Dec 13 13:45:17 GMT 2022","Tue Dec 13 13:45:33 GMT 2022","16288","","Verify Menu","","","","Verify SubMenu items in  Catalog",""
"passed","Tue Dec 13 13:45:38 GMT 2022","Tue Dec 13 13:45:47 GMT 2022","8478","","Assertions Demo","","",""," Verify Length , List of Elements",""
"skipped","Tue Dec 13 13:45:29 GMT 2022","Tue Dec 13 13:45:29 GMT 2022","2","","Visit","","","","Cy visit with post options",""
"failed","Tue Dec 13 13:46:02 GMT 2022","Tue Dec 13 13:46:11 GMT 2022","8159","","Verify URLS","","","","Check URL",""
"skipped","Tue Dec 13 13:45:29 GMT 2022","Tue Dec 13 13:45:29 GMT 2022","2","","Visit","","","","Verify Cy visit PageLoadTimeOut options",""
"skipped","Tue Dec 13 13:45:29 GMT 2022","Tue Dec 13 13:45:29 GMT 2022","0","","Visit","","","","Verify Cy visit Basic Auth options",""
"passed","Tue Dec 13 13:46:54 GMT 2022","Tue Dec 13 13:47:06 GMT 2022","12012","","Actions Demo","","","","Working with Select/ Dropdowns",""
"passed","Tue Dec 13 13:45:59 GMT 2022","Tue Dec 13 13:46:00 GMT 2022","973","","Assertions Demo","","","","Assert empty and property",""
"passed","Tue Dec 13 13:46:25 GMT 2022","Tue Dec 13 13:46:54 GMT 2022","28934","","Actions Demo","","","","Working with SelectDropdowns",""
"passed","Tue Dec 13 13:46:43 GMT 2022","Tue Dec 13 13:46:55 GMT 2022","11466","","Verify Menu","","","","Verify SubMenu items in  Reports",""
"passed","Tue Dec 13 13:45:33 GMT 2022","Tue Dec 13 13:45:45 GMT 2022","12058","","Verify Menu","","","","Verify SubMenu items in  Sales",""
"passed","Tue Dec 13 13:45:32 GMT 2022","Tue Dec 13 13:45:55 GMT 2022","22443","","Actions Demo","","","","Type in to element",""
"failed","Tue Dec 13 13:45:26 GMT 2022","Tue Dec 13 13:45:32 GMT 2022","5824","","Assertions Demo","","","","Visibility Check",""
"passed","Tue Dec 13 13:45:29 GMT 2022","Tue Dec 13 13:45:30 GMT 2022","723","","Visit","","","","Verify Cy visit Fail On Status Code options",""
"passed","Tue Dec 13 13:45:43 GMT 2022","Tue Dec 13 13:45:46 GMT 2022","3024","","Navigation","","","","Verify - reload the page",""
"passed","Tue Dec 13 13:45:45 GMT 2022","Tue Dec 13 13:45:57 GMT 2022","11612","","Login Test","","","","Login Using Custom Command",""
"failed","Tue Dec 13 13:46:20 GMT 2022","Tue Dec 13 13:46:32 GMT 2022","12009","","Verify Menu","","","","Verify SubMenu items in  Configuration",""
"passed","Tue Dec 13 13:46:32 GMT 2022","Tue Dec 13 13:46:43 GMT 2022","11514","","Verify Menu","","","","Verify SubMenu items in  System",""
"passed","Tue Dec 13 13:46:08 GMT 2022","Tue Dec 13 13:46:20 GMT 2022","11383","","Verify Menu","","","","Verify SubMenu items in  Content management",""
"passed","Tue Dec 13 13:46:09 GMT 2022","Tue Dec 13 13:46:25 GMT 2022","16321","","Actions Demo","","","","Working with checkboxes",""
